timestamp;Equipamento;Tipo;Modelo;HEF;HTI;HAO;HOE;HOI;HTD;HMC;HAC;MPS;MPNS;Manutenção Corretiva;Manutenção Preventiva;Manutenção Total;Horas Trabalhadas;Horas Calendario;Producao;DF;UF;RO;Produtividade;Nº Corretivas;Nº Preventivas;Nº Manutenção;MTBF;MTTR;MTBS;MTTS
jun/22;TE2930;Trator (Esteira);Caterpillar D11R;0,9;398,4;0,0;0,0;84,4;0,0;46,8;0,0;1,5;31,4;46,8;33,0;79,7;399,3;563,3;;85,8%;82,6%;0,8;;12,0;3,0;15,0;33,3;3,9;26,6;6,6
jun/22;TE2931;Trator (Esteira);Caterpillar D11R;9,2;360,9;0,0;0,0;118,8;1,1;61,7;0,0;1,6;10,0;61,7;11,7;73,4;371,2;563,3;;87,0%;75,8%;0,8;;13,0;3,0;16,0;28,6;4,7;23,2;5,6
jun/22;TE2933;Trator (Esteira);Caterpillar D11R;0,0;261,2;0,0;0,0;56,5;0,0;244,4;0,0;1,3;0,0;244,4;1,3;245,7;261,2;563,3;;56,4%;82,2%;0,8;;7,0;1,0;8,0;37,3;34,9;32,6;35,1
jun/22;TE2935;Trator (Esteira);Caterpillar D11R;0,0;412,1;0,0;0,0;67,2;0,0;81,4;0,0;2,7;0,0;81,4;2,7;84,0;412,1;563,3;;85,1%;86,0%;0,9;;1,0;2,0;3,0;412,1;81,4;137,4;84,0
jun/22;TE2936;Trator (Esteira);Caterpillar D11R;2,8;306,2;0,0;0,0;64,5;0,0;93,5;0,0;0,8;95,4;93,5;96,3;189,8;309,0;563,3;;66,3%;82,7%;0,8;;5,0;2,0;7,0;61,8;18,7;44,1;38,0
jun/22;TE2937;Trator (Esteira);Caterpillar D11R;0,0;217,8;0,0;0,0;75,2;0,0;219,4;0,0;51,0;0,0;219,4;51,0;270,3;217,8;563,3;;52,0%;74,3%;0,7;;3,0;1,0;4,0;72,6;73,1;54,4;90,1
jun/22;TE2938;Trator (Esteira);Caterpillar D11R;10,5;458,9;0,0;0,0;30,4;0,0;61,2;0,0;2,3;0,0;61,2;2,3;63,5;469,4;563,3;;88,7%;93,9%;0,9;;5,0;2,0;7,0;93,9;12,2;67,1;12,7
jun/22;TE2939;Trator (Esteira);Caterpillar D11R;3,4;439,3;0,0;0,0;63,9;0,0;52,8;0,0;4,0;0,0;52,8;4,0;56,7;442,7;563,3;;89,9%;87,4%;0,9;;3,0;2,0;5,0;147,6;17,6;88,5;18,9
jun/22;TE2940;Trator (Esteira);Caterpillar D11R;0,4;336,4;0,0;0,0;90,0;1,5;125,8;0,0;9,2;0,0;125,8;9,2;135,0;338,4;563,3;;76,0%;79,0%;0,8;;13,0;2,0;15,0;26,0;9,7;22,6;10,4
jun/22;TE2941;Trator (Esteira);Caterpillar D11R;2,1;389,5;0,0;0,0;52,4;0,4;118,3;0,0;0,7;0,0;118,3;0,7;119,0;392,0;563,3;;78,9%;88,2%;0,9;;8,0;1,0;9,0;49,0;14,8;43,6;14,9
jun/22;TE2942;Trator (Esteira);Caterpillar D11R;0,2;291,8;0,0;0,0;40,8;0,0;8,0;0,0;0,0;222,6;8,0;222,6;230,6;292,0;563,3;;59,1%;87,8%;0,9;;3,0;2,0;5,0;97,3;2,7;58,4;76,9
jun/22;TE2943;Trator (Esteira);Caterpillar D11R;0,0;336,3;0,0;0,3;107,5;0,0;80,7;0,0;38,6;0,0;80,7;38,6;119,3;336,3;563,3;;78,8%;75,7%;0,8;;7,0;3,0;10,0;48,0;11,5;33,6;17,0
jun/22;TE2944;Trator (Esteira);Caterpillar D11R;5,3;180,9;0,0;0,0;72,8;0,0;150,0;0,0;154,3;0,0;150,0;154,3;304,3;186,2;563,3;;46,0%;71,9%;0,7;;6,0;1,0;7,0;31,0;25,0;26,6;50,7
jun/22;TE2945;Trator (Esteira);Caterpillar D11R;4,1;344,5;0,0;0,0;38,1;0,0;175,0;0,0;1,7;0,0;175,0;1,7;176,7;348,6;563,3;;68,6%;90,2%;0,9;;6,0;1,0;7,0;58,1;29,2;49,8;29,5
jun/22;TE2946;Trator (Esteira);Caterpillar D11R;0,2;268,9;0,0;0,0;158,6;0,0;126,3;0,0;9,4;0,0;126,3;9,4;135,7;269,0;563,3;;75,9%;62,9%;0,6;;10,0;1,0;11,0;26,9;12,6;24,5;13,6
jun/22;TE2947;Trator (Esteira);Caterpillar D11R;0,0;329,6;0,0;0,0;40,0;0,0;91,2;0,0;102,5;0,0;91,2;102,5;193,7;329,6;563,3;;65,6%;89,2%;0,9;;9,0;2,0;11,0;36,6;10,1;30,0;21,5
jun/22;TE2948;Trator (Esteira);Caterpillar D11R;6,7;162,2;0,0;0,0;78,8;0,0;34,8;0,0;280,9;0,0;34,8;280,9;315,7;168,9;563,3;;44,0%;68,2%;0,7;;3,0;1,0;4,0;56,3;11,6;42,2;105,2
jun/22;TE2949;Trator (Esteira);Caterpillar D11R;0,0;367,3;0,0;0,0;72,2;6,4;68,1;0,0;49,4;0,0;68,1;49,4;117,4;373,7;563,3;;79,2%;83,8%;0,8;;8,0;3,0;11,0;46,7;8,5;34,0;14,7
jun/22;TE2950;Trator (Esteira);Caterpillar D11R;4,9;421,0;0,0;0,3;72,3;1,1;63,7;0,0;0,0;0,0;63,7;0,0;63,7;427,0;563,3;;88,7%;85,5%;0,9;;6,0;0,0;6,0;71,2;10,6;71,2;10,6
jun/22;TE2951;Trator (Esteira);Caterpillar D11R;0,4;446,8;0,0;0,0;96,2;0,3;4,6;0,0;15,0;0,0;4,6;15,0;19,6;447,5;563,3;;96,5%;82,3%;0,8;;3,0;3,0;6,0;149,2;1,5;74,6;6,5
jun/22;TE2952;Trator (Esteira);Caterpillar D11R;6,0;385,1;0,0;0,3;61,5;0,0;50,3;3,2;1,3;55,6;53,5;57,0;110,5;391,1;563,3;;80,4%;86,4%;0,9;;9,0;3,0;12,0;43,5;5,9;32,6;12,3
jun/22;TE2953;Trator (Esteira);Caterpillar D11R;0,0;402,6;0,0;0,0;88,3;0,0;11,7;0,0;60,7;0,0;11,7;60,7;72,4;402,6;563,3;;87,1%;82,0%;0,8;;5,0;2,0;7,0;80,5;2,3;57,5;14,5
jun/22;TE2954;Trator (Esteira);Caterpillar D11R;6,7;404,2;0,0;0,0;71,9;0,0;55,8;0,0;24,7;0,0;55,8;24,7;80,5;410,9;563,3;;85,7%;85,1%;0,9;;4,0;1,0;5,0;102,7;13,9;82,2;20,1
jun/22;TE2955;Trator (Esteira);Caterpillar D11R;0,0;367,1;0,0;0,0;103,7;0,1;54,3;0,0;0,3;37,9;54,3;38,2;92,5;367,2;563,3;;83,6%;78,0%;0,8;;2,0;2,0;4,0;183,6;27,1;91,8;46,2
jun/22;TE2956;Trator (Esteira);Caterpillar D11R;0,0;328,0;0,0;1,9;110,7;26,4;14,4;0,0;0,0;81,9;14,4;81,9;96,3;354,4;563,3;;82,9%;75,9%;0,8;;4,0;1,0;5,0;88,6;3,6;70,9;24,1
jun/22;TE2957;Trator (Esteira);Caterpillar D11R;12,0;467,2;0,0;0,0;53,6;0,0;0,8;0,0;29,7;0,0;0,8;29,7;30,5;479,3;563,3;;94,6%;89,9%;0,9;;1,0;1,0;2,0;479,3;0,8;239,6;30,5
jun/22;TE2958;Trator (Esteira);Caterpillar D11R;0,0;396,8;0,0;0,0;69,8;0,0;38,4;0,0;58,3;0,0;38,4;58,3;96,7;396,9;563,3;;82,8%;85,0%;0,9;;8,0;2,0;10,0;49,6;4,8;39,7;12,1
jun/22;TE2959;Trator (Esteira);Caterpillar D11R;0,0;418,1;0,0;0,0;58,8;0,2;9,2;0,0;77,1;0,0;9,2;77,1;86,3;418,3;563,3;;84,7%;87,7%;0,9;;5,0;2,0;7,0;83,7;1,8;59,8;17,3
jun/22;TE2960;Trator (Esteira);Caterpillar D11R;0,1;419,5;0,0;0,0;119,9;0,0;1,4;0,0;18,9;3,6;1,4;22,4;23,9;419,5;563,3;;95,8%;77,8%;0,8;;2,0;3,0;5,0;209,8;0,7;83,9;11,9
jun/22;TE2961;Trator (Esteira);Caterpillar D11R;0,0;371,8;0,0;0,0;113,6;0,1;4,4;0,0;73,4;0,0;4,4;73,4;77,8;371,9;563,3;;86,2%;76,6%;0,8;;3,0;2,0;5,0;124,0;1,5;74,4;25,9
jun/22;TE2962;Trator (Esteira);Caterpillar D11R;0,0;420,6;0,0;0,0;80,6;0,0;5,7;0,0;56,4;0,0;5,7;56,4;62,1;420,6;563,3;;89,0%;83,9%;0,8;;4,0;2,0;6,0;105,2;1,4;70,1;15,5
jun/22;TE2963;Trator (Esteira);Caterpillar D11R;0,0;443,1;0,0;0,0;52,9;0,0;2,8;0,0;64,6;0,0;2,8;64,6;67,4;443,1;563,3;;88,0%;89,3%;0,9;;2,0;4,0;6,0;221,5;1,4;73,8;33,7
jun/22;TE2964;Trator (Esteira);Caterpillar D11R;0,0;446,2;0,0;3,7;52,4;1,3;5,4;0,0;54,2;0,0;5,4;54,2;59,6;447,6;563,3;;89,4%;88,9%;0,9;;3,0;2,0;5,0;149,2;1,8;89,5;19,9
mai/22;PT3114;Patrol;Patrol 24M;0,0;545,3;0,0;0,1;79,4;0,0;43,4;0,0;68,4;7,4;43,4;75,7;119,2;545,3;744,0;;84,0%;87,3%;73,3;;14,0;3,0;17,0;39,0;3,1;32,1;8,5
mai/22;PT3116;Patrol;Patrol 24M;0,0;439,3;0,0;1,2;111,3;0,0;110,5;0,0;59,1;22,6;110,5;81,7;192,2;439,3;744,0;;74,2%;79,6%;59,1;;14,0;10,0;24,0;31,4;7,9;18,3;13,7
mai/22;PT3117;Patrol;Patrol 24M;0,0;253,0;0,0;0,0;351,4;12,8;58,5;0,0;68,3;0,0;58,5;68,3;126,9;265,8;744,0;;82,9%;43,1%;35,7;;7,0;1,0;8,0;38,0;8,4;33,2;18,1
mai/22;PT3118;Patrol;Patrol 24M;0,0;0,0;0,0;0,0;8,5;0,0;0,0;0,0;735,5;0,0;0,0;735,5;735,5;0,0;744,0;;1,1%;0,0%;0,0;;0,0;2,0;2,0;0,0;0,0;0,0;0,0
mai/22;PT3119;Patrol;Patrol 24M;0,0;552,0;0,0;1,2;86,6;0,0;62,8;0,0;35,8;5,6;62,8;41,4;104,2;552,0;744,0;;86,0%;86,3%;74,2;;15,0;4,0;19,0;36,8;4,2;29,1;6,9
mai/22;PT3120;Patrol;Patrol 24M;0,0;458,5;0,0;3,0;73,9;0,2;176,7;0,0;31,1;0,6;176,7;31,6;208,3;458,7;744,0;;72,0%;85,6%;61,7;;13,0;4,0;17,0;35,3;13,6;27,0;16,0
